Timestamp (s),Engine RPM,Vehicle Speed (km/h),Coolant Temp (°C),Throttle Position (%),Engine Load (%),Intake Air Temp (°C),MAF Air Flow (g/s)
157,600,0,105,5,20,60,43.0
158,600,0,105,1,18,21,29.5
159,600,0,105,9,14,47,30.2
160,600,0,105,0,16,39,43.9
161,600,0,105,10,19,38,14.9
162,600,0,105,3,12,35,40.1
163,600,0,105,1,20,47,31.4
164,600,0,105,2,11,59,13.0
165,600,0,105,8,11,23,35.4
166,600,0,105,6,14,52,28.3
167,600,0,105,7,20,55,19.0
168,600,0,105,5,10,24,27.6
169,600,0,105,8,13,24,39.2
170,600,0,105,8,13,27,39.8
171,600,0,105,10,18,20,17.2
172,600,0,105,0,19,33,12.3
173,600,0,105,10,16,36,23.3
174,600,0,105,3,12,40,8.6
175,600,0,105,6,17,44,44.1
176,600,0,105,7,13,51,20.3
177,600,0,105,6,17,57,36.4
178,600,0,105,5,13,21,2.5
179,600,0,105,0,13,32,23.9
180,600,0,105,6,15,36,40.8
181,600,0,105,0,19,30,37.3
182,600,0,105,4,17,24,19.9
183,600,0,105,10,18,31,40.2
184,600,0,105,1,15,57,27.2
185,600,0,105,1,16,26,24.4
186,600,0,105,3,10,54,23.7
187,600,0,105,10,18,34,40.0
188,600,0,105,4,10,41,18.6
189,600,0,105,1,19,25,21.7
190,600,0,105,3,19,25,16.1
191,600,0,105,7,12,27,8.2
192,600,0,105,0,17,27,42.1
193,600,0,105,10,13,29,17.1
194,600,0,105,2,13,46,15.0
195,600,0,105,9,18,29,31.9
196,600,0,105,3,11,28,18.9
197,600,0,105,6,19,28,16.3
198,600,0,105,8,12,49,8.9
199,600,0,105,8,20,37,23.0
200,600,0,105,2,12,20,41.7
201,600,0,105,0,20,41,8.5
202,600,0,105,3,16,20,43.3
203,600,0,105,4,11,41,26.7
204,600,0,105,1,16,58,44.9
205,600,0,105,5,20,58,18.1
206,600,0,105,10,19,41,42.9
207,600,0,105,0,16,30,20.5
208,600,0,105,4,14,52,32.6
209,600,0,105,0,17,31,25.9
210,600,0,105,8,17,21,24.6
211,600,0,105,6,14,51,8.0
212,600,0,105,3,20,29,32.6
213,600,0,105,6,15,42,38.8
214,600,0,105,5,19,48,7.0
215,600,0,105,9,19,22,3.7
216,600,0,105,2,17,24,8.5
217,600,0,105,8,14,26,31.5
218,600,0,105,8,15,45,21.2
219,600,0,105,4,10,54,13.8
220,600,0,105,2,18,57,2.6
221,600,0,105,9,10,50,23.0
222,600,0,105,7,15,30,18.2
223,600,0,105,8,11,52,29.2
224,600,0,105,5,15,50,9.3
225,600,0,105,2,14,31,19.3
226,600,0,105,1,10,57,4.2
227,600,0,105,5,18,46,12.9
228,600,0,105,4,15,31,44.2
229,600,0,105,0,14,23,27.3
230,600,0,105,8,10,30,7.1
231,600,0,105,6,15,44,4.7
232,600,0,105,8,19,35,23.5
233,600,0,105,9,15,49,31.7
234,600,0,105,3,11,30,6.3
235,600,0,105,9,17,24,38.3
236,600,0,105,10,18,47,33.6
237,600,0,105,7,15,57,12.1
238,600,0,105,2,15,52,21.1
239,600,0,105,6,18,56,11.1
240,600,0,105,2,13,39,19.3
241,600,0,105,8,13,54,9.4
242,600,0,105,1,18,50,21.6
243,600,0,105,3,15,48,42.0
244,600,0,105,10,13,40,4.1
245,600,0,105,3,11,42,42.3
246,600,0,105,7,18,60,2.8
247,600,0,105,6,11,53,25.6
248,600,0,105,10,18,31,32.3
249,600,0,105,5,14,37,2.8
250,600,0,105,8,18,27,23.9
251,600,0,105,4,10,39,11.1
252,600,0,105,6,11,27,18.9
253,600,0,105,1,11,48,19.7
254,600,0,105,7,14,47,9.6
255,600,0,105,8,20,57,41.5
256,600,0,105,0,17,37,25.8
257,600,0,105,4,14,48,8.5
258,600,0,105,6,19,60,10.7
259,600,0,105,0,15,30,34.6
260,600,0,105,5,17,60,18.1
261,600,0,105,9,13,56,33.9
262,600,0,105,8,13,42,7.6
263,600,0,105,5,15,56,27.8
264,600,0,105,4,10,50,18.9
265,600,0,105,9,20,38,38.6
266,600,0,105,10,11,31,3.0
267,600,0,105,6,14,42,17.2
268,600,0,105,2,15,46,45.8
269,600,0,105,9,15,25,2.4
270,600,0,105,10,10,57,3.3
271,600,0,105,4,14,51,22.3
272,600,0,105,4,18,37,18.8
273,600,0,105,5,20,31,11.0
274,600,0,105,10,12,23,14.1
275,600,0,105,0,15,28,2.8
276,600,0,105,0,17,53,12.6
277,600,0,105,1,13,52,22.2
278,600,0,105,4,12,51,7.3
279,600,0,105,8,12,29,36.1
280,600,0,105,4,17,58,12.0
281,600,0,105,6,19,44,23.5
282,600,0,105,8,12,42,40.6
283,600,0,105,9,11,20,13.7
284,600,0,105,0,14,50,19.1
285,600,0,105,3,11,26,47.8
286,600,0,105,1,11,45,16.1
287,600,0,105,1,13,28,47.9
288,600,0,105,6,17,50,12.0
289,600,0,105,9,19,28,18.2
290,600,0,105,10,19,47,29.0
291,600,0,105,10,13,21,15.2
292,600,0,105,8,16,55,10.2
293,600,0,105,7,11,43,19.3
294,600,0,105,5,14,24,7.3
295,600,0,105,6,18,20,34.2
296,600,0,105,10,14,41,39.4
297,600,0,105,10,16,43,38.1
298,600,0,105,4,17,37,41.4
299,600,0,105,2,12,42,33.8
300,600,0,105,4,15,52,48.3
301,600,0,105,10,11,59,31.7
302,600,0,105,4,19,39,46.8
303,600,0,105,0,13,29,18.8
304,600,0,105,2,12,38,22.7
305,600,0,105,6,17,39,41.3
306,600,0,105,3,15,35,17.0
307,600,0,105,5,11,46,22.0
308,600,0,105,0,11,42,30.0
309,600,0,105,0,11,60,17.4
310,600,0,105,10,19,27,47.4
311,600,0,105,3,17,32,39.8
312,600,0,105,4,15,57,35.8
313,600,0,105,5,16,27,23.0
314,600,0,105,2,11,34,27.2
315,600,0,105,3,12,52,17.7
316,600,0,105,1,20,30,6.9
317,600,0,105,7,12,49,24.4
318,600,0,105,7,20,35,19.8
319,600,0,105,2,16,30,39.7
320,600,0,105,6,15,29,4.9
321,600,0,105,2,14,46,48.9
322,600,0,105,4,17,41,23.4
323,600,0,105,7,20,35,7.4
324,600,0,105,5,13,55,6.6
325,600,0,105,10,10,33,34.4
326,600,0,105,10,18,56,39.7
327,600,0,105,7,15,20,20.4
328,600,0,105,7,10,23,43.5
329,600,0,105,6,17,34,42.4
330,600,0,105,6,19,22,29.5
331,600,0,105,1,17,38,17.0
332,600,0,105,5,15,42,46.8
333,600,0,105,10,17,34,21.0
334,600,0,105,1,19,60,42.6
335,600,0,105,9,11,43,27.3
336,600,0,105,10,12,28,20.2
337,600,0,105,9,18,21,19.8
338,600,0,105,5,11,23,35.9
339,600,0,105,10,18,60,2.8
340,600,0,105,1,14,38,26.1
341,600,0,105,2,13,46,30.0
342,600,0,105,6,15,21,6.0
343,600,0,105,9,12,36,44.7
344,600,0,105,6,20,50,10.5
345,600,0,105,10,12,60,6.9
346,600,0,105,9,15,48,22.3
347,600,0,105,9,18,55,40.2
348,600,0,105,1,11,57,39.3
349,600,0,105,1,19,47,36.8
350,600,0,105,9,20,54,36.2
351,600,0,105,9,13,21,39.3
352,600,0,105,1,12,30,2.5
353,600,0,105,6,18,51,14.7
354,600,0,105,3,19,36,8.7
355,600,0,105,10,13,46,11.1
356,600,0,105,2,17,28,25.5
357,600,0,105,9,12,60,35.7
358,600,0,105,5,19,40,43.9
359,600,0,105,6,17,51,30.1
360,600,0,105,3,20,48,40.0
361,600,0,105,7,16,53,38.4
362,600,0,105,5,18,51,41.1
363,600,0,105,2,14,51,43.7
364,600,0,105,7,18,50,37.5
365,600,0,105,3,19,52,37.9
366,600,0,105,3,19,43,22.1
367,600,0,105,5,11,53,45.0
368,600,0,105,2,17,23,8.9
369,600,0,105,8,12,56,17.0
370,600,0,105,10,14,50,35.1
371,600,0,105,8,20,44,43.0
372,600,0,105,3,14,21,4.9
373,600,0,105,4,17,35,28.7
374,600,0,105,6,14,22,39.3
375,600,0,105,9,16,21,14.6
376,600,0,105,5,13,47,31.8
377,600,0,105,2,18,46,49.5
378,600,0,105,2,16,23,29.5
379,600,0,105,8,10,52,27.2
380,600,0,105,3,16,46,49.4
381,600,0,105,6,19,34,48.9
382,600,0,105,6,17,34,23.0
383,600,0,105,0,14,39,26.1
384,600,0,105,5,13,36,22.4
385,600,0,105,1,12,26,32.5
386,600,0,105,6,19,45,3.2
387,600,0,105,4,10,51,5.9
388,600,0,105,1,16,32,9.5
389,600,0,105,3,15,52,46.3
390,600,0,105,4,20,46,32.6
391,600,0,105,7,14,22,46.0
392,600,0,105,1,14,36,27.8
393,600,0,105,0,11,54,39.8
394,600,0,105,6,18,25,43.0
395,600,0,105,0,14,33,26.5
396,600,0,105,4,14,21,13.6
397,600,0,105,6,13,50,24.5
398,600,0,105,10,19,25,23.8
399,600,0,105,0,11,50,24.9
400,600,0,105,1,15,24,24.1
401,600,0,105,7,15,32,35.6
402,600,0,105,4,20,45,38.9
403,600,0,105,1,11,54,3.8
404,600,0,105,2,10,60,31.5
405,600,0,105,7,19,40,22.8
406,600,0,105,0,20,51,34.0
407,600,0,105,4,13,27,34.6
408,600,0,105,7,18,59,27.3
409,600,0,105,0,14,39,8.8
410,600,0,105,3,14,42,18.1
411,600,0,105,3,15,29,37.3
412,600,0,105,6,20,43,37.6
413,600,0,105,3,15,45,42.5
414,600,0,105,6,14,23,41.7
415,600,0,105,2,17,23,18.9
416,600,0,105,7,10,58,16.8
417,600,0,105,4,11,39,49.1
418,600,0,105,5,19,50,43.2
419,600,0,105,2,17,22,34.1
420,600,0,105,10,10,34,27.4
421,600,0,105,0,19,48,8.2
422,600,0,105,9,14,33,33.3
423,600,0,105,2,18,54,28.0
424,600,0,105,3,15,54,5.4
425,600,0,105,9,14,23,35.0
426,600,0,105,1,20,50,3.1
427,600,0,105,3,20,42,36.0
428,600,0,105,4,10,38,35.4
429,600,0,105,8,16,41,43.6
430,600,0,105,9,19,55,31.2
431,600,0,105,2,15,28,45.0
432,600,0,105,2,18,32,39.1
433,600,0,105,0,20,60,6.5
434,600,0,105,8,13,22,4.8
435,600,0,105,0,16,50,24.0
436,600,0,105,7,18,34,9.4
437,600,0,105,4,20,33,16.5
438,600,0,105,10,13,56,14.7
439,600,0,105,9,17,54,20.7
440,600,0,105,0,17,38,22.0
441,600,0,105,6,17,57,44.5
442,600,0,105,10,14,51,26.9
443,600,0,105,7,17,21,3.8
444,600,0,105,2,14,42,35.2
445,600,0,105,4,15,45,35.6
446,600,0,105,6,13,36,40.7
447,600,0,105,9,15,22,22.7
448,600,0,105,4,11,29,28.3
449,600,0,105,5,19,53,49.9
450,600,0,105,6,20,37,5.2
451,600,0,105,3,11,37,20.4
452,600,0,105,9,19,25,10.2
453,600,0,105,7,15,42,45.1
454,600,0,105,6,18,46,21.7
455,600,0,105,3,16,53,34.0
456,600,0,105,2,19,58,45.8
457,600,0,105,4,13,36,8.7
458,600,0,105,2,17,41,22.9
459,600,0,105,3,15,60,23.3
460,600,0,105,10,15,52,15.7
461,600,0,105,8,13,41,9.4
462,600,0,105,10,17,20,40.5
463,600,0,105,6,10,47,25.5
464,600,0,105,7,17,48,42.3
465,600,0,105,9,13,48,47.1
466,600,0,105,1,19,50,47.3
467,600,0,105,2,14,30,24.0
468,600,0,105,7,15,40,29.8
469,600,0,105,2,19,22,36.4
470,600,0,105,10,19,21,17.3
471,600,0,105,2,17,50,38.6
472,600,0,105,4,14,34,43.4
473,600,0,105,5,16,44,6.8
474,600,0,105,0,15,54,11.8
475,600,0,105,1,14,29,47.4
476,600,0,105,0,15,40,47.5
477,600,0,105,5,11,27,45.0
478,600,0,105,1,12,34,49.2
479,600,0,105,5,10,35,34.2
480,600,0,105,6,15,20,47.4
481,600,0,105,8,14,24,32.1
482,600,0,105,5,16,37,23.9
483,600,0,105,6,19,45,26.8
484,600,0,105,2,11,31,41.2
485,600,0,105,6,18,22,44.4
486,600,0,105,9,11,49,39.7
487,600,0,105,4,13,43,25.9
488,600,0,105,9,14,42,26.2
489,600,0,105,4,18,45,10.8
490,600,0,105,10,15,39,19.3
491,600,0,105,7,17,22,29.0
492,600,0,105,10,12,41,31.5
493,600,0,105,9,17,20,14.2
494,600,0,105,5,12,31,26.5
495,600,0,105,5,10,41,41.6
496,600,0,105,7,20,58,34.9
497,600,0,105,4,19,53,18.2
498,600,0,105,2,20,23,13.2
499,600,0,105,7,18,54,46.6
500,600,0,105,0,11,32,29.6
501,600,0,105,5,13,52,6.8
502,600,0,105,2,19,25,35.9
503,600,0,105,7,16,20,9.6
504,600,0,105,10,19,40,36.8
505,600,0,105,0,14,25,17.0
506,600,0,105,0,17,23,37.4
507,600,0,105,1,11,27,3.7
508,600,0,105,2,19,36,10.7
509,600,0,105,9,11,20,23.6
510,600,0,105,4,14,49,15.7
511,600,0,105,2,10,31,13.5
512,600,0,105,8,20,28,33.0
513,600,0,105,0,14,30,17.1
514,600,0,105,10,19,25,27.2
515,600,0,105,1,14,25,15.9
516,600,0,105,3,20,25,42.1
517,600,0,105,3,14,55,4.6
518,600,0,105,7,18,25,2.1
519,600,0,105,1,15,30,6.9
520,600,0,105,5,17,54,41.5
521,600,0,105,9,18,46,46.8
522,600,0,105,2,10,21,44.7
523,600,0,105,10,19,41,5.7
524,600,0,105,6,17,50,13.1
525,600,0,105,8,13,58,12.4
526,600,0,105,1,11,47,18.0
527,600,0,105,3,15,58,30.6
528,600,0,105,2,12,37,40.3
529,600,0,105,0,15,56,30.9
530,600,0,105,9,15,51,6.3
531,600,0,105,7,10,32,31.4
532,600,0,105,2,15,40,4.2
533,600,0,105,5,13,59,2.2
534,600,0,105,3,20,49,21.9
535,600,0,105,5,17,29,36.2
536,600,0,105,1,18,48,42.7
537,600,0,105,8,16,21,38.7
538,600,0,105,6,12,60,35.5
539,600,0,105,9,20,59,4.8
540,600,0,105,4,18,38,23.2
541,600,0,105,9,12,45,16.3
542,600,0,105,8,17,23,3.9
543,600,0,105,3,12,51,9.3
544,600,0,105,2,12,56,33.0
545,600,0,105,6,20,50,40.0
546,600,0,105,3,16,26,16.7
547,600,0,105,6,12,21,28.2
548,600,0,105,3,14,48,38.3
549,600,0,105,0,10,22,48.2
550,600,0,105,8,13,22,29.6
551,600,0,105,4,20,51,27.2
552,600,0,105,2,13,40,20.7
553,600,0,105,1,14,38,14.0
554,600,0,105,4,19,59,43.3
555,600,0,105,1,12,44,48.1
556,600,0,105,6,20,44,19.0
557,600,0,105,7,16,31,37.4
558,600,0,105,1,17,27,41.8
559,600,0,105,10,13,48,32.3
560,600,0,105,8,11,21,13.6
561,600,0,105,0,12,47,33.7
562,600,0,105,2,14,47,29.6
563,600,0,105,6,20,35,7.8
564,600,0,105,5,12,24,40.2
565,600,0,105,6,17,20,15.9
566,600,0,105,8,16,45,3.8
567,600,0,105,2,18,58,21.9
568,600,0,105,9,19,48,25.1
569,600,0,105,4,12,37,46.9
570,600,0,105,5,20,57,6.6
571,600,0,105,5,14,28,27.3
572,600,0,105,1,18,57,23.0
573,600,0,105,0,20,29,22.9
574,600,0,105,3,13,27,6.6
575,600,0,105,8,14,60,31.0
576,600,0,105,7,19,35,14.6
577,600,0,105,1,13,41,13.4
578,600,0,105,2,11,52,36.9
579,600,0,105,7,20,55,44.4
580,600,0,105,3,14,40,15.0
581,600,0,105,9,19,43,45.8
582,600,0,105,8,13,56,5.1
583,600,0,105,5,17,53,9.3
584,600,0,105,3,14,39,23.4
585,600,0,105,1,13,39,31.2
586,600,0,105,0,19,34,20.9
587,600,0,105,10,16,22,47.9
588,600,0,105,3,17,41,26.8
589,600,0,105,4,17,22,12.1
590,600,0,105,4,18,26,31.1
591,600,0,105,5,15,50,5.6
592,600,0,105,7,15,41,19.4
593,600,0,105,10,16,41,34.2
594,600,0,105,2,13,38,18.1
595,600,0,105,10,11,30,3.5
596,600,0,105,7,16,33,47.9
597,600,0,105,4,15,38,12.4
598,600,0,105,0,20,21,36.1
599,600,0,105,8,18,31,30.1
600,600,0,105,6,13,29,15.4
601,600,0,105,5,13,32,47.9
602,600,0,105,10,20,40,13.6
603,600,0,105,4,15,24,38.8
604,600,0,105,3,20,56,46.7
605,600,0,105,6,13,30,3.8
606,600,0,105,0,12,43,9.2
607,600,0,105,8,18,56,15.1
608,600,0,105,9,16,56,22.5
609,600,0,105,7,14,37,9.3
610,600,0,105,3,11,54,36.5
611,600,0,105,6,11,28,48.2
612,600,0,105,9,17,49,44.8
613,600,0,105,8,13,57,31.2
614,600,0,105,10,17,25,21.1
615,600,0,105,5,15,30,23.8
616,600,0,105,10,11,39,42.9
617,600,0,105,1,15,31,32.6
618,600,0,105,2,11,43,34.2
619,600,0,105,1,12,25,40.1
620,600,0,105,3,15,43,34.3
621,600,0,105,2,18,51,4.7
622,600,0,105,2,20,28,41.0
623,600,0,105,5,19,58,38.6
624,600,0,105,0,12,31,37.2
625,600,0,105,5,11,49,23.7
626,600,0,105,4,20,39,22.1
627,600,0,105,9,14,54,11.8
628,600,0,105,4,12,58,17.2
629,600,0,105,10,16,23,29.2
630,600,0,105,1,14,24,5.3
631,600,0,105,10,15,39,25.3
632,600,0,105,6,10,32,30.8
633,600,0,105,5,11,44,42.2
634,600,0,105,5,11,36,49.0
635,600,0,105,10,14,49,41.1
636,600,0,105,4,20,43,27.8
637,600,0,105,2,12,51,30.0
638,600,0,105,5,13,25,22.6
639,600,0,105,6,18,58,25.8
640,600,0,105,0,13,58,2.5
641,600,0,105,9,11,27,35.0
642,600,0,105,7,19,50,18.3
643,600,0,105,0,13,31,38.6
644,600,0,105,9,14,57,43.6
645,600,0,105,2,16,23,9.4
646,600,0,105,6,12,52,7.2
647,600,0,105,8,16,20,34.6
648,600,0,105,9,13,23,29.7
649,600,0,105,1,20,32,44.6
650,600,0,105,6,18,44,8.4
651,600,0,105,0,20,30,26.6
652,600,0,105,10,19,57,25.1
653,600,0,105,10,19,28,36.9
654,600,0,105,1,16,40,13.9
655,600,0,105,9,16,42,13.0
656,600,0,105,10,11,31,11.9
657,600,0,105,10,13,36,8.7
658,600,0,105,1,20,47,47.1
659,600,0,105,9,14,20,14.7
660,600,0,105,2,20,46,36.5
661,600,0,105,5,16,25,22.6
662,600,0,105,0,18,29,5.8
663,600,0,105,1,20,32,6.3
664,600,0,105,1,19,49,44.5
665,600,0,105,2,17,29,11.7
666,600,0,105,4,14,57,33.4
667,600,0,105,10,20,53,8.6
668,600,0,105,9,20,26,40.4
669,600,0,105,0,19,44,6.7
670,600,0,105,8,11,37,25.8
671,600,0,105,6,11,39,35.0
672,600,0,105,9,20,58,43.2
673,600,0,105,7,16,44,33.6
674,600,0,105,6,18,35,21.8
675,600,0,105,10,19,54,26.5
676,600,0,105,0,19,29,17.4
677,600,0,105,0,15,35,21.6
678,600,0,105,1,14,28,32.9
679,600,0,105,10,11,51,45.1
680,600,0,105,1,20,36,43.1
681,600,0,105,0,17,42,34.7
682,600,0,105,8,18,30,28.8
683,600,0,105,5,16,32,6.1
684,600,0,105,10,18,41,45.3
685,600,0,105,0,18,20,33.4
686,600,0,105,1,16,39,9.7
687,600,0,105,10,16,59,36.8
688,600,0,105,1,10,55,38.5
689,600,0,105,6,16,40,28.7
690,600,0,105,1,19,28,28.7
691,600,0,105,1,18,39,31.0
692,600,0,105,9,13,23,42.2
693,600,0,105,1,18,46,39.2
694,600,0,105,1,15,37,15.4
695,600,0,105,2,11,38,12.2
696,600,0,105,8,10,60,45.4
697,600,0,105,0,15,38,37.1
698,600,0,105,6,10,36,26.6
699,600,0,105,7,12,31,44.5
700,600,0,105,3,14,54,9.3
701,600,0,105,2,18,53,20.7
702,600,0,105,3,16,23,15.2
703,600,0,105,1,17,24,29.0
704,600,0,105,1,12,37,48.6
705,600,0,105,2,17,43,2.3
706,600,0,105,3,20,55,24.5
707,600,0,105,6,11,36,48.9
708,600,0,105,7,15,58,47.4
709,600,0,105,1,19,46,15.8
710,600,0,105,1,20,21,31.9
711,600,0,105,4,13,37,26.2
712,600,0,105,6,11,44,3.8
713,600,0,105,7,19,27,9.9
714,600,0,105,9,17,41,19.8
715,600,0,105,2,18,26,31.4
716,600,0,105,8,15,35,4.6
717,600,0,105,7,20,35,4.7
718,600,0,105,4,10,52,4.8
719,600,0,105,0,14,21,5.0
720,600,0,105,4,10,47,45.2
721,600,0,105,3,12,54,36.0
722,600,0,105,2,12,22,33.7
723,600,0,105,10,17,34,36.9
724,600,0,105,1,20,44,5.2
725,600,0,105,0,17,60,19.7
726,600,0,105,6,19,36,26.3
727,600,0,105,5,10,53,49.4
728,600,0,105,0,13,22,6.8
729,600,0,105,6,14,60,21.4
730,600,0,105,5,15,27,11.2
731,600,0,105,8,14,26,15.4
732,600,0,105,8,14,44,33.6
733,600,0,105,1,14,35,5.6
734,600,0,105,8,20,55,3.9
735,600,0,105,0,20,58,44.5
736,600,0,105,1,12,21,27.5
737,600,0,105,9,20,43,31.1
738,600,0,105,10,19,37,8.3
739,600,0,105,6,11,48,24.4
740,600,0,105,2,10,50,15.4
741,600,0,105,3,12,54,49.3
742,600,0,105,0,17,42,28.0
743,600,0,105,8,17,57,37.2
744,600,0,105,4,14,22,14.1
745,600,0,105,2,13,54,21.0
746,600,0,105,9,10,42,38.9
747,600,0,105,8,14,26,14.9
748,600,0,105,2,11,32,49.0
749,600,0,105,9,20,41,27.3
750,600,0,105,5,17,22,32.4
751,600,0,105,6,10,39,28.4
752,600,0,105,10,19,25,8.7
753,600,0,105,0,18,22,25.5
754,600,0,105,1,14,56,9.2
755,600,0,105,3,16,37,4.2
756,600,0,105,2,20,51,26.1
757,600,0,105,2,17,50,17.1
758,600,0,105,1,10,39,7.2
759,600,0,105,0,12,54,46.5
760,600,0,105,8,15,48,36.0
761,600,0,105,6,11,34,21.0
762,600,0,105,2,15,59,16.1
763,600,0,105,8,17,30,30.4
764,600,0,105,7,11,38,11.9
